Sl.No,Player Name,Type,Points 
1,Yashasvi Jaiswal,Batter,8
2,Ishan Kishan,Wicket Keeper,17
3,Dewald Brevis ✈,Batter,10
4,Mitchel Marsh ✈,All Rounder,8
5,Phil Salt ✈,Wicket Keeper,6
6,Aiden markaram ✈,All Rounder,4
7,Raghuvanshi,Batter,1.5
8,Padikkal,Batter,3
9,Hetmyer ✈,Batter,3.5
10,Priyansh Arya,Batter,4.5
11,Sai Kishore,All Rounder,3.5
12,Vaibhav Arora,Bowler,2
13,Suyash Shrama,Bowler,2.5
14,Prasid Krishna,Bowler,5.5
15,Aniket Verma,Batter,1
,15,Remaning Purse,0
