Sl.No,Player Name,Type,Points 
1,Virat Kohli,Batter,15
2,Ruturaj Gaikwad,Batter,14
3,Rinku Singh,Batter,8
4,Pat Cummins ✈,All Rounder,5
5,Shami,Bowler,7
6,Klaasen ✈,Wicket Keeper,5
7,Urvil Patel,Wicket Keeper,1
8,Harshal Patel,All Rounder,3
9,Prashant Veer,All Rounder,2
10,Noor Ahmed ✈,Bowler,6
11,Ajinjya Rahane,Batter,5
12,Will Jacks  ✈,All Rounder,4
13,Mukesh Kumar,Bowler,2
14,Avesh Khan,Bowler,2
15,Abdul Samad,Batter,1
,15,Remaning Purse,0
