Sl.No,Player Name,Type,Points 
1,K L Rahul,Wicket Keeper,15
2,Shreyas Iyer,Batter,15
3,Varun chakravarthy,Bowler,16
4,Josh Hazelwood ✈,Bowler,14
5,Pathirana ✈,Bowler,3
6,Dhoni,Wicket Keeper,3
7,Sarfraz Khan,Batter,0.5
8,Tim David ✈,Batter,3
9,Inglis ✈,Wicket Keeper,2
10,Jacob Bethell ✈,All Rounder,2
11,Mangesh Yadav,Bowler,0.5
12,Nitish Kumar Reddy,All Rounder,2
13,Shrardul Thakur,Bowler,2
14,Jaydev Unadkat,Bowler,1
15,Vignesh Puthur ,Bowler,0.5
,15,Remaning Purse,0.5
